,Politically Reactive,http://feeds.feedburner.com/PoliticallyRe-active
,The Runner's World Show,http://feeds.feedburner.com/TheRunnersWorldShow
,Detective,http://feeds.feedburner.com/Detective
,Switched On Pop,http://feeds.feedburner.com/SwitchedOnPopPodcast
,Dear Prudence,http://feeds.feedburner.com/SlatesDearPrudenceMini
,Human Race,http://feeds.feedburner.com/HumanRacePodcast
,Political Gabfest,http://feeds.feedburner.com/SlatePoliticalGabfest
,Dog Smarts,http://feeds.feedburner.com/DogSmarts
,Happier with Gretchen Rubin,http://feeds.feedburner.com/HappierWithGretchenRubin
,Imaginary Worlds,http://feeds.feedburner.com/ImaginaryWorldsPodcast
,Too Hot for Radio,http://feeds.feedburner.com/TooHotForRadio
,Intelligence Squared US Debates,http://feeds.feedburner.com/IQ2USDebates
,Filmspotting,http://feeds.feedburner.com/cinecast
,Placemakers,http://feeds.feedburner.com/SlatePlacemakers
,The Next Picture Show,http://feeds.feedburner.com/TheNextPictureShowPodcast
,Filmspotting SVU,http://feeds.feedburner.com/filmspottingsvu
,Points of Courage,http://feeds.feedburner.com/PointsOfCourage
,FP's The Editor's Roundtable,http://the-e-r-podcast.foreignpolicy.com/
,Selected Shorts,http://feeds.feedburner.com/Selected-Shorts
,The Americans: Slate Club Insider,http://theamericans.audio.slate.com/rss
,The Labor of Love,http://feeds.feedburner.com/TheLaborOfLovePodcast
,Rolling Stone Music Now,http://feeds.feedburner.com/RollingStoneMusicNow
,Think Again,http://feeds.feedburner.com/ThinkAgainABigThinkPodcast
,Sports Illustrated Olympics Channel,http://feeds.soundcloud.com/users/soundcloud:users:236463755/sounds.rss
,The Ezra Klein Show,http://feeds.feedburner.com/TheEzraKleinShow
,Pregnancy Confidential,http://feeds.feedburner.com/PregnancyConfidential
,Little Gold Men,http://feeds.feedburner.com/littlegoldmenpodcast
,The Message,http://feeds.feedburner.com/themessagepodcast
,Girlboss Radio,http://feeds.feedburner.com/girlbossradio
,Vox's The Weeds,http://feeds.feedburner.com/voxtheweeds
,Vulture TV Podcast,http://feeds.feedburner.com/VultureTV
,The Moment with Brian Koppelman,http://feeds.feedburner.com/the-moment
,Most Useful Podcast Ever,http://feeds.feedburner.com/MostUsefulPodcastEver
,Life of the Law,http://feeds.feedburner.com/LifeOfTheLaw
,Adulthood Made Easy,http://feeds.feedburner.com/AdulthoodMadeEasy
,Slate's Trumpcast,http://feeds.feedburner.com/SlatesTrumpcast
,The Grub Street Podcast,http://feeds.panoply.fm/grubstreet
,New York Magazine's Sex Lives,http://feeds.feedburner.com/NewYorkMagazinesSexLives
,How Your World Works,http://feeds.feedburner.com/howyourworldworks
,Inc Unsensored,http://feeds.feedburner.com/IncUncensored
,Edge of Sports,http://www.edgeofsports.com/radio/rss.xml
,The History Chicks,http://feeds.feedburner.com/TheHistoryChicks
,United States of Debt,http://feeds.feedburner.com/TheUnitedStatesOfDebt
,You Must Remember This,http://feeds.feedburner.com/MustRememberThis
,Unorthodox,http://feeds.feedburner.com/unorthodoxpodcast
,Open Account,http://feeds.feedburner.com/OpenAccount
,WSJ Off Duty,http://feeds.panoply.fm/WSJ1587845981
,Whistlestop,http://feeds.feedburner.com/SlatesWhistlestop
,WSJ Opinion: Foreign Edition,http://feeds.panoply.fm/WSJ4259260063
,WSJ Speakeasy,http://feeds.panoply.fm/WSJ4480544634
,WSJ Watching Your Wealth,http://feeds.panoply.fm/WSJ8941417255
,WSJ Heard on the Street,http://feeds.panoply.fm/WSJ5553236527
,WSJ Moneybeat,http://feeds.panoply.fm/WSJ2105811496
,WSJ What's News,http://feeds.panoply.fm/WSJ4886593505
,WSJ Your Money Matters,http://feeds.panoply.fm/WSJ8175120842
,WSJ Potomac Watch,http://feeds.panoply.fm/WSJ1676277886
,WSJ Free For All,http://feeds.panoply.fm/WSJ1333614646
,WSJ Tech News Briefing,http://feeds.panoply.fm/WSJ8523681216
,This Week in Barrons,http://feeds.panoply.fm/WSJ1785377835
,Marketwatch Money Markets and More,http://feeds.panoply.fm/WSJ6340662189
,WSJ Media Mix,http://feeds.wsjonline.com/wsj/podcast_media_mix
,It's Your Universe,http://feeds.feedburner.com/ItsYourUniverse
,MMQB,http://feeds.feedburner.com/themmqb
,Golf.com Podcast,http://feeds.soundcloud.com/users/soundcloud:users:148607068/sounds.rss
,On The Clock: NFL Draft Podcast,http://feeds.soundcloud.com/users/soundcloud:users:171712625/sounds.rss
,Slate's Culture Gabfest,http://feeds.feedburner.com/SlateCultureGabfest
,The Strike Zone,http://feeds.soundcloud.com/users/soundcloud:users:149520579/sounds.rss
,The College Football Podcast,http://feeds.soundcloud.com/users/soundcloud:users:165265537/sounds.rss
,Audibles NFL Podcast,http://feeds.soundcloud.com/users/soundcloud:users:46503028/sounds.rss
,Tourney Talk,http://feeds.soundcloud.com/users/soundcloud:users:209660426/sounds.rss
,Beyond The Baseline,http://feeds.soundcloud.com/users/soundcloud:users:149064987/sounds.rss
,The Gray Area,http://feeds.soundcloud.com/users/soundcloud:users:166807719/sounds.rss
,Draft Season,http://feeds.soundcloud.com/users/soundcloud:users:209656900/sounds.rss
,SI Fantasy Football Podcast,http://feeds.soundcloud.com/users/soundcloud:users:166807227/sounds.rss
,This is Your Brain on Sports,http://feeds.soundcloud.com/users/soundcloud:users:158916440/sounds.rss
,SI Vault,http://feeds.soundcloud.com/users/soundcloud:users:149023917/sounds.rss
,Planet Futbol,http://feeds.soundcloud.com/users/soundcloud:users:99116547/sounds.rss
,SI Media Podcast,http://feeds.soundcloud.com/users/soundcloud:users:151834971/sounds.rss
,Getting In,http://feeds.feedburner.com/panoplygettingin
,Open Floor,http://feeds.soundcloud.com/users/soundcloud:users:180256397/sounds.rss
,Quiet: The Power of Introverts,http://feeds.feedburner.com/QuietThePowerOfIntrovertsWithSusanCain
,Burnt Toast,http://feeds.feedburner.com/food52burnttoast
,Mom and Dad are Fighting,http://feeds.feedburner.com/SlateMomAndDadAreFighting
,Amicus with Dahlia Lithwick,http://feeds.feedburner.com/slateamicuswithdahlialithwick
,The Gist,http://feeds.feedburner.com/TheGistWithMikePesca
,Hang Up and Listen,http://feeds.feedburner.com/SlateHangUpAndListen
,Lexicon Valley,http://feeds.feedburner.com/SlateLexiconValley
,Real Simple,http://feeds.feedburner.com/realsimplepodcast
,Futuropolis,http://feeds.feedburner.com/FuturopolisByPopularScience
,Our National Conversation About Conversations About Race,http://feeds.feedburner.com/showaboutrace
,We The People,http://feeds.feedburner.com/WeThePeoplePodcast
,The Knick Podcast,http://feeds.feedburner.com/TheKnickPodcast
